rep,d,L
12,32,310.6286379901273
12,64,238.80529348720358
12,128,173.40064774965327
12,256,129.85568709455575
12,512,97.82388792583853
12,1024,73.85809326123781
13,2,672.3605245119471
13,4,599.891758460797
13,8,465.6561980290283
13,16,389.03724372968014
13,32,310.6286379901273
13,64,238.80529348720358
13,128,173.40064774965327
13,256,129.85568709455575
13,512,97.82388792583853
13,1024,73.85809326123781
14,2,672.3605245119471
14,4,599.891758460797
14,8,465.6561980290283
14,16,389.03724372968014
14,32,310.6286379901273
14,64,238.80529348720358
14,128,173.40064774965327
14,256,129.85568709455575
14,512,97.82388792583853
14,1024,73.85809326123781
15,2,672.3605245119471
15,4,599.891758460797
15,8,465.6561980290283
15,16,389.03724372968014
15,32,310.6286379901273
15,64,238.80529348720358
15,128,173.40064774965327
15,256,129.85568709455575
15,512,97.82388792583853
15,1024,73.85809326123781
16,2,672.3605245119471
16,4,599.891758460797
16,8,465.6561980290283
16,16,389.03724372968014
16,32,310.6286379901273
16,64,238.80529348720358
16,128,173.40064774965327
16,256,129.85568709455575
16,512,97.82388792583853
16,1024,73.85809326123781
17,2,672.3605245119471
17,4,599.891758460797
17,8,465.6561980290283
17,16,389.03724372968014
17,32,310.6286379901273
17,64,238.80529348720358
17,128,173.40064774965327
17,256,129.85568709455575
17,512,97.82388792583853
17,1024,73.85809326123781
18,2,672.3605245119471
18,4,599.891758460797
18,8,465.6561980290283
18,16,389.03724372968014
18,32,310.6286379901273
18,64,238.80529348720358
18,128,173.40064774965327
18,256,129.85568709455575
18,512,97.82388792583853
18,1024,73.85809326123781
19,2,672.3605245119471
19,4,599.891758460797
19,8,465.6561980290283
19,16,389.03724372968014
19,32,310.6286379901273
19,64,238.80529348720358
19,128,173.40064774965327
19,256,129.85568709455575
19,512,97.82388792583853
19,1024,73.85809326123781
20,2,672.3605245119471
20,4,599.891758460797
20,8,465.6561980290283
20,16,389.03724372968014
20,32,310.6286379901273
20,64,238.80529348720358
20,128,173.40064774965327
20,256,129.85568709455575
20,512,97.82388792583853
20,1024,73.85809326123781
21,2,672.3605245119471
21,4,599.891758460797
21,8,465.6561980290283
21,16,389.03724372968014
21,32,310.6286379901273
21,64,238.80529348720358
